"TF","CellType","Log2FC_Degen_vs_Normal"
"SOX9","FC-Metabolic",3.70976356916565
"HOXA13","Secretory-Chondrocyte",-3.5591013735634
"FOXO3","Secretory-Chondrocyte",-3.43818666339928
"STAT1","Male-Inflammatory",3.42371136904249
"CDKN1A","Stem-Progenitor",-3.36940529463697
"SMAD3","Meniscus-Progenitor",3.29388091841481
"NFKB2","Secretory-Chondrocyte",-3.22386721047245
"CTNNB1","Secretory-Chondrocyte",3.19411820875362
"JUN","Stem-Progenitor",3.06464091941528
"CTNNB1","Stem-Progenitor",3.02885766328619
"FOS","Male-Inflammatory",-2.95910481743532
"SOX9","Stem-Progenitor",2.8635105501121
"JUNB","OuterZone-FC",2.80677623191105
"FOXO3","OuterZone-FC",2.62240674105439
"EPAS1","Secretory-Chondrocyte",-2.62089125770874
"JUNB","Secretory-Chondrocyte",-2.57609118038073
"STAT1","Stem-Progenitor",2.40842877961672
"CTNNB1","OuterZone-FC",2.37919477219845
"ETS2","Macrophage",-2.28686704118129
"JUN","Smooth-Muscle",-2.22061351106271
"FOXO3","FC-Metabolic",2.15403784121243
"JUNB","Male-Inflammatory",-2.12265170135138
"ZEB1","Secretory-Chondrocyte",-2.11894700438881
"CDKN1A","Secretory-Chondrocyte",2.10478090862133
"CTNNB1","Macrophage",2.04535936477751
"SOX9","FC-Degenerated",2.0271436895875
"NFKB2","Stem-Progenitor",-1.96268769566177
"EPAS1","FC-Metabolic",-1.93201185696187
"HIF1A","Secretory-Chondrocyte",1.92115791077392
"FOS","Proliferating-G2M",-1.85297817976
"RELA","Secretory-Chondrocyte",1.84681430493616
"CDKN1A","Proliferating-M",1.8258002221557
"ETS2","FC-Metabolic",1.81969232231784
"CDKN1A","Smooth-Muscle",-1.80803712736642
"SOX6","Secretory-Chondrocyte",-1.7824401427045
"RUNX1","Male-Inflammatory",-1.77674680369139
"SMAD5","OuterZone-FC",1.75148374350799
"RELA","Stem-Progenitor",-1.73126055685607
"FOS","Macrophage",1.71461279496767
"ETS1","Macrophage",-1.68922280256942
"NFKB1","Macrophage",-1.68531296295584
"HIF1A","Macrophage",1.67740551664616
"ZEB1","Stem-Progenitor",-1.61793325809606
"ETS1","OuterZone-FC",-1.60803758552648
"JUNB","FC-Metabolic",1.60660724364733
"NFKB2","Endothelial",-1.60248997154714
"TCF7L2","FC-Metabolic",1.59285470927672
"JUN","FC-Regulatory",1.58106382211257
"SMAD5","Stem-Progenitor",-1.56980059932839
"NFKB2","Proliferating-M",-1.54429630824387
"FOXO3","Male-Inflammatory",-1.54022754443462
"EPAS1","Smooth-Muscle",1.53966601217906
"RELA","Smooth-Muscle",-1.53801496236128
"CTNNB1","FC-Degenerated",1.52654693024137
"HIF1A","Proliferating-M",1.52307132100617
"RELA","OuterZone-FC",-1.52125881375949
"STAT1","Secretory-Chondrocyte",1.5072205798296
"SOX5","OuterZone-FC",1.4924442789559
"RELA","Proliferating-M",-1.48269195837358
"HIF1A","FC-Degenerated",1.44911473522217
"HIF1A","Endothelial",1.44310794890818
"CDKN1A","FC-Metabolic",-1.44155402068413
"SNAI2","Secretory-Chondrocyte",1.41218725286472
"EPAS1","OuterZone-FC",1.40299969686989
"NFKB2","Smooth-Muscle",-1.40141757556024
"STAT3","Stem-Progenitor",1.38124790000732
"STAT1","Proliferating-S",1.36029466472687
"NFKB2","Macrophage",-1.34092869961203
"PITX1","Secretory-Chondrocyte",-1.32639592640012
"CDKN1A","Proliferating-G2M",1.32085913448521
"TCF7L2","Male-Inflammatory",1.32013723286057
"STAT3","OuterZone-FC",-1.32003367959758
"CTNNB1","Meniscus-Progenitor",1.29176188910066
"SOX5","Secretory-Chondrocyte",-1.27961705752987
"ZEB1","Male-Inflammatory",1.27051242444906
"TP53","Stem-Progenitor",-1.26299020510836
"SNAI2","OuterZone-FC",-1.25687321492002
"SMAD2","Secretory-Chondrocyte",1.25248951570876
"SMAD4","Secretory-Chondrocyte",-1.24814068624553
"SOX9","Secretory-Chondrocyte",1.243581066612
"SMAD5","Male-Inflammatory",1.22043410027804
"JUN","OuterZone-FC",-1.21156910421973
"FOS","Endothelial",-1.19561218587338
"CDKN1A","FC-Degenerated",-1.18889817408757
"NFKB2","FC-Regulatory",1.18772343136624
"TWIST1","FC-Regulatory",1.17880664588662
"EPAS1","Stem-Progenitor",-1.17607618861608
"JUNB","Smooth-Muscle",-1.16051161265787
"RUNX1","Stem-Progenitor",-1.15194895841279
"HIF1A","Smooth-Muscle",1.14951775498251
"SMAD2","OuterZone-FC",-1.14503239739356
"FOS","OuterZone-FC",1.14029253776004
"RELA","Macrophage",-1.134387989726
"HEY1","Macrophage",-1.12802465193307
"HES1","Stem-Progenitor",-1.12756091159919
"STAT5A","Macrophage",-1.12163528371476
"JUN","Proliferating-M",-1.11816809752967
"FOS","Smooth-Muscle",1.11637552274925
"EPAS1","Macrophage",1.11095425336262
"HES1","OuterZone-FC",-1.10669227242739
"STAT1","Proliferating-M",1.10571288003298
"SMAD3","Proliferating-M",1.10316697102584
"CTNNB1","Proliferating-G2M",1.09927207496302
"STAT1","Smooth-Muscle",-1.09318464607721
"SNAI2","Meniscus-Progenitor",-1.0821540671428
"EPAS1","FC-ECM",-1.08069632747889
"SOX5","FC-Regulatory",1.07541009054283
"NFKB1","OuterZone-FC",-1.06803668474634
"STAT3","Male-Inflammatory",1.06638302380663
"ETS1","Proliferating-M",-1.06563863942601
"RBPJ","Secretory-Chondrocyte",-1.05738295090698
"RBPJ","FC-Degenerated",1.05420828440089
"TCF7L2","Smooth-Muscle",-1.05139497926237
"SNAI2","Male-Inflammatory",1.046370940993
"SMAD3","Smooth-Muscle",1.04216313037389
"SMAD3","OuterZone-FC",1.04114092438517
"NFKB1","Secretory-Chondrocyte",-1.02112051809978
"TCF7L2","Stem-Progenitor",1.01904124124991
"JUN","Male-Inflammatory",-1.01541986961166
"TWIST1","Meniscus-Progenitor",-1.01064236093882
"SMAD3","FC-Regulatory",1.00432213404902
"TWIST1","OuterZone-FC",-1.00319469607821
"HIF1A","FC-Regulatory",0.991536670556236
"TCF7L2","Proliferating-M",-0.989358590431727
"RUNX1","FC-Metabolic",-0.988340846362694
"FOXO3","FC-Regulatory",0.959824176571038
"HES1","Secretory-Chondrocyte",0.9424082310474
"NFKB1","Smooth-Muscle",-0.937272998400119
"FOXO3","Proliferating-G2M",-0.928479943507615
"SMAD5","Smooth-Muscle",-0.926582786198266
"SNAI2","FC-Regulatory",0.914903244554895
"RUNX1","Secretory-Chondrocyte",-0.912335669319259
"SOX5","Male-Inflammatory",0.908103310955051
"SMAD2","Meniscus-Progenitor",0.90358048547704
"HIF1A","FC-ECM",0.901777986589594
"NFKB1","Proliferating-M",-0.897357757084946
"ETS2","Secretory-Chondrocyte",0.896064220188598
"FOS","Proliferating-M",0.893247504916898
"RUNX2","Proliferating-M",0.885985350439853
"JUNB","Stem-Progenitor",-0.883651196566541
"RBPJ","Male-Inflammatory",-0.877587495662132
"JUN","Endothelial",-0.867094762797056
"RBPJ","Stem-Progenitor",-0.861302265631465
"ETS1","Smooth-Muscle",-0.858010877025694
"ZEB1","OuterZone-FC",-0.850457201742876
"RBPJ","Smooth-Muscle",0.848900639674376
"JUNB","Proliferating-M",0.845131547089114
"SOX9","FC-Regulatory",0.844652588219456
"CDKN1A","Macrophage",-0.834459240708056
"CDKN1A","Proliferating-S",-0.825537535479749
"TP53","FC-Degenerated",-0.825273739822389
"SMAD2","Male-Inflammatory",-0.818055612869159
"NFKB2","FC-Metabolic",0.814578745412837
"CTNNB1","FC-Regulatory",0.811764195820604
"ZEB1","Endothelial",0.805486055212251
"HES1","FC-ECM",-0.803669371921446
"TP53","Smooth-Muscle",0.794333742437646
"ETS1","Secretory-Chondrocyte",0.784589778403442
"HIF1A","Proliferating-G2M",0.777517284670696
"SNAI1","Smooth-Muscle",0.775467529296901
"JUNB","Macrophage",-0.772617231947656
"SOX5","Proliferating-M",-0.772276927153495
"SOX5","Smooth-Muscle",0.769365279602603
"HIF1A","Stem-Progenitor",-0.76851234211993
"JUNB","FC-Degenerated",-0.766102367052599
"REL","Macrophage",-0.760510907844075
"FOXO3","Stem-Progenitor",0.760035396991582
"HIF1A","OuterZone-FC",0.755425673495982
"SNAI2","FC-Degenerated",-0.754058591025281
"EPAS1","FC-Degenerated",0.742831975717345
"NFKB1","Stem-Progenitor",-0.741116945451559
"SMAD2","Proliferating-M",0.739540528384481
"LEF1","FC-Metabolic",0.73768012314213
"STAT3","Proliferating-G2M",0.735067222307308
"SOX9","Proliferating-G2M",0.735036873752581
"RELA","Meniscus-Progenitor",0.73335239901986
"TP53","OuterZone-FC",-0.7256690626011
"EPAS1","Meniscus-Progenitor",-0.724171552245228
"SOX9","Macrophage",0.719558517015262
"SNAI1","Male-Inflammatory",-0.715476368078975
"NFKB1","Proliferating-G2M",-0.712206880663772
"RBPJ","Meniscus-Progenitor",0.708557869250376
"ZEB1","FC-ECM",-0.706671861139345
"SOX5","Stem-Progenitor",-0.704648127939957
"RBPJ","OuterZone-FC",0.703386164822724
"FOXO3","Meniscus-Progenitor",-0.688153742915713
"STAT1","OuterZone-FC",0.686794021959496
"SMAD5","Secretory-Chondrocyte",-0.685756778366235
"ETS2","Smooth-Muscle",-0.68211771376167
"ETS1","Proliferating-S",-0.681038132929648
"RELA","Male-Inflammatory",0.677144609739625
"TP53","FC-Metabolic",0.669421190772783
"STAT5A","Stem-Progenitor",-0.668721658421735
"ZEB1","FC-Degenerated",-0.668646802698399
"RELA","Proliferating-G2M",-0.66651538675614
"SOX6","Stem-Progenitor",0.664859724205867
"MYC","Smooth-Muscle",0.660065869714668
"SNAI1","Stem-Progenitor",-0.659140221966777
"TCF7L2","Secretory-Chondrocyte",-0.657511183373591
"SOX9","OuterZone-FC",-0.657213235164985
"SOX9","Endothelial",0.655833008248406
"TCF7L2","FC-Regulatory",0.652280295171128
"ETS1","Meniscus-Progenitor",-0.651487877591492
"ETS1","Proliferating-G2M",-0.648192661876551
"STAT1","FC-ECM",0.647785720651834
"NFKB1","FC-ECM",0.644972341937505
"TWIST1","Endothelial",-0.638671627297741
"HES1","Proliferating-G2M",-0.63862714676095
"TP53","FC-Regulatory",-0.634848723424823
"SMAD4","Stem-Progenitor",-0.633526186539177
"SMAD3","Stem-Progenitor",-0.633464016368272
"TP53","Macrophage",-0.631705786457663
"FOXO1","Secretory-Chondrocyte",0.631426913404054
"RBPJ","Proliferating-M",0.630149917723674
"NFKB1","Endothelial",-0.626798555648426
"SOX5","FC-Metabolic",-0.625837588415987
"RBPJ","FC-Regulatory",0.625830756981406
"SMAD4","Male-Inflammatory",0.622183857665306
"STAT5A","Meniscus-Progenitor",-0.620478011333092
"SMAD2","Smooth-Muscle",-0.62019198504779
"JUN","Macrophage",-0.619802105396532
"SMAD2","Macrophage",0.618339592302382
"ETS2","Stem-Progenitor",0.614887849909445
"SMAD4","FC-Metabolic",-0.613779066769156
"SMAD4","OuterZone-FC",-0.609211595488071
"SMAD5","Proliferating-M",-0.605169753852199
"JUN","Proliferating-S",-0.602499914811859
"ZEB1","FC-Metabolic",-0.601944102368178
"STAT5A","OuterZone-FC",0.601768936495985
"SNAI2","Proliferating-S",-0.601696356426372
"CTNNB1","FC-Metabolic",-0.59726738119814
"RUNX1","Smooth-Muscle",0.595944854883988
"STAT3","FC-ECM",-0.595774751991752
"SMAD2","FC-Degenerated",0.59549136812768
"SMAD3","FC-ECM",0.594850916215379
"PITX1","Male-Inflammatory",-0.591048927419629
"NFKB1","FC-Metabolic",0.590740426712749
"ETS1","Endothelial",-0.588747671344307
"TWIST1","Secretory-Chondrocyte",0.585462685145081
"CDKN1A","FC-Regulatory",0.584727880769777
"HOXA13","Macrophage",-0.583313875402678
"STAT5A","FC-Metabolic",-0.582915123210501
"JUN","FC-Metabolic",-0.579435895848462
"NFKB2","FC-ECM",0.578249972652574
"SMAD3","FC-Degenerated",-0.574738620291729
"CDKN1A","Endothelial",-0.566951567337915
"REL","OuterZone-FC",-0.566635832862307
"TWIST1","Stem-Progenitor",0.566461684994737
"SOX9","Proliferating-M",-0.56457261755209
"STAT1","FC-Degenerated",0.562225986119984
"FOS","Secretory-Chondrocyte",-0.55613692789069
"ETS1","Male-Inflammatory",-0.554879397800568
"STAT5A","Smooth-Muscle",-0.553050042708423
"STAT5A","FC-Regulatory",0.545185549862276
"SOX5","Endothelial",-0.543724264487069
"TP53","Secretory-Chondrocyte",0.541279158116691
"TBX5","Proliferating-G2M",-0.536656006104345
"SNAI2","Stem-Progenitor",-0.535496193470923
"SNAI2","Smooth-Muscle",0.535035109692944
"TWIST1","FC-ECM",0.53319318035793
"ETS1","Stem-Progenitor",-0.527100804015139
"NFKB1","FC-Regulatory",0.524840927184314
"TCF7L2","FC-Degenerated",0.523070649468334
"ZEB1","Proliferating-G2M",-0.521850934456099
"HES1","Male-Inflammatory",-0.519829781135206
"TWIST1","Proliferating-M",-0.519482029575906
"STAT3","Meniscus-Progenitor",0.515928230772899
"HOXA13","FC-Metabolic",0.513414066570805
"FOS","FC-Degenerated",0.512618250596912
"RUNX1","Endothelial",-0.512587349360853
"HES1","FC-Regulatory",-0.511273417388604
"FOS","Stem-Progenitor",0.510561913940797
"SNAI1","Meniscus-Progenitor",0.507625354428221
