"Cargo","Target_TF","Mechanism","Effect"
"TGFB1","SMAD2","TGFβ→SMAD2","Anti-degen"
"TGFB1","SMAD3","TGFβ→SMAD3","Anti-degen"
"TGFB3","SMAD3","TGFβ3→SMAD3","Anti-degen"
"BMP2","SMAD1","BMP→SMAD1","Repair"
"BMP2","SMAD5","BMP→SMAD5","Repair"
"WNT5A","JUN","WNT5A→AP1","Proliferation"
"WNT5A","CTNNB1","WNT→β-cat","Differentiation"
"IL10","STAT3","IL10→STAT3","Anti-inflam"
"HGF","MYC","HGF→MYC","Proliferation"
"FGF2","ETS1","FGF2→ETS1","Angiogenesis"
"IGF1","FOXO1","IGF1→FOXO1","Anti-apoptosis"
"ANXA1","NFKB1","ANXA1⊣NFκB","Anti-inflam"
"CXCL12","STAT3","CXCL12→STAT3","Migration"
"hsa-miR-146a-5p","NFKB1","miR-146a⊣TRAF6→NFκB","Anti-inflam"
"hsa-miR-21-5p","TP53","miR-21⊣PDCD4→p53","Anti-apoptosis"
"hsa-miR-140-5p","ADAMTS5","miR-140⊣ADAMTS5","Chondroprotection"
"hsa-miR-29a-3p","RUNX2","miR-29a→RUNX2","ECM regulation"
"hsa-miR-155-5p","SOCS1","miR-155→SOCS1","Immunomod"
"hsa-miR-181a-5p","TLR4","miR-181a⊣TLR4","Anti-inflam"
