"TF","Target","Correlation","Direction"
"SOX9","SOX9",1,"Activation"
"JUN","VEGFA",0.326,"Activation"
"JUN","PTGS2",0.233,"Activation"
"FOS","COL1A1",0.212,"Activation"
"JUN","COL1A1",0.211,"Activation"
"NFKB2","PTGS2",0.201,"Activation"
"SOX9","COL1A1",-0.178,"Repression"
"HIF1A","PTGS2",0.176,"Activation"
"JUN","PRG4",0.166,"Activation"
"SMAD3","PTGS2",-0.163,"Repression"
"RELA","PTGS2",0.159,"Activation"
"NFKB2","PRG4",0.158,"Activation"
"FOS","FGF2",-0.155,"Repression"
"JUNB","COL1A1",0.155,"Activation"
