"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042060","wound healing","21/51","453/18860",0.0463576158940397,17.143228152188,18.1096286380578,3.65057159303203e-21,1.11378939303407e-17,4.48443899901935e-18,"CD9/ITGA5/ITGB1/ITGAV/ITGB3/TGFB1/FGF2/IGF1/VEGFA/PDGFB/TIMP1/FN1/WNT3A/WNT5A/SHH/GPX1/HSPB1/ACTB/ANXA1/ANXA2/ANXA5",21
"GO:0048732","gland development","16/51","454/18860",0.0352422907488987,13.0327373240045,13.5136982973337,3.24054819024758e-14,4.94345626422269e-11,1.99037880948365e-11,"TGFB1/TGFB3/FGF2/HGF/IGF1/VEGFA/BMP2/IL10/MMP2/WNT3A/WNT5A/SHH/SOD1/SOD2/GPX1/MSN",16
"GO:0030100","regulation of endocytosis","14/51","318/18860",0.0440251572327044,16.2806757923295,14.3099922372318,8.32226987677593e-14,6.58978139070612e-11,2.6532370346061e-11,"CD63/TSG101/SDCBP/ITGAV/ITGB3/TGFB1/VEGFA/CCL2/WNT3A/WNT5A/DKK1/SOD1/ACTB/ANXA2",14
"GO:0031623","receptor internalization","11/51","139/18860",0.079136690647482,29.2650585414022,17.4162372771883,8.63950362596673e-14,6.58978139070612e-11,2.6532370346061e-11,"CD9/CD63/CD81/SDCBP/ITGB1/ITGB3/VEGFA/WNT3A/DKK1/EZR/ANXA2",11
"GO:0006935","chemotaxis","15/51","474/18860",0.0316455696202532,11.7026557458426,12.2884940763817,1.12594877159369e-12,4.5616788284122e-10,1.83666414558024e-10,"ITGAV/ITGB3/TGFB1/FGF2/HGF/VEGFA/PDGFB/IL10/CCL2/CXCL12/MMP2/WNT3A/WNT5A/HSPB1/ANXA1",15
"GO:0014823","response to activity","9/51","84/18860",0.107142857142857,39.6218487394958,18.4728000072082,1.16006861501242e-12,4.5616788284122e-10,1.83666414558024e-10,"ITGA5/ITGB1/ITGB3/IL10/MMP2/FN1/SOD2/CAT/ANXA2",9
"GO:2000027","regulation of animal organ morphogenesis","9/51","84/18860",0.107142857142857,39.6218487394958,18.4728000072082,1.16006861501242e-12,4.5616788284122e-10,1.83666414558024e-10,"TGFB1/FGF2/HGF/VEGFA/BMP2/WNT3A/WNT5A/SHH/DKK1",9
"GO:0042330","taxis","15/51","476/18860",0.0315126050420168,11.6534849233811,12.2584830638735,1.19611375376262e-12,4.5616788284122e-10,1.83666414558024e-10,"ITGAV/ITGB3/TGFB1/FGF2/HGF/VEGFA/PDGFB/IL10/CCL2/CXCL12/MMP2/WNT3A/WNT5A/HSPB1/ANXA1",15
"GO:0050900","leukocyte migration","14/51","397/18860",0.035264483627204,13.0409443374327,12.6260130064251,1.70169691504976e-12,5.76875254201868e-10,2.32266701738371e-10,"CD9/CD81/ITGB1/ITGB3/TGFB1/VEGFA/PDGFB/IL10/CCL2/CXCL12/MMP2/WNT5A/MSN/ANXA1",14
"GO:2001233","regulation of apoptotic signaling pathway","14/51","406/18860",0.0344827586206897,12.7518593644354,12.4648170698851,2.30225004966594e-12,6.91689144372723e-10,2.78494102531687e-10,"ITGAV/FGF2/HGF/IGF1/IL10/CXCL12/MMP2/WNT5A/SOD1/SOD2/GPX1/HSPA1A/HSPB1/ENO1",14
"GO:0033002","muscle cell proliferation","12/51","252/18860",0.0476190476190476,17.609710550887,13.8221006489603,2.49379894726318e-12,6.91689144372723e-10,2.78494102531687e-10,"ITGB3/TGFB1/TGFB3/FGF2/HGF/IGF1/PDGFB/BMP2/IL10/MMP2/SHH/SOD2",12
"GO:1904018","positive regulation of vasculature development","11/51","195/18860",0.0564102564102564,20.8607340372046,14.5164415334705,3.61143118948998e-12,9.18206379927829e-10,3.69696508608317e-10,"ITGA5/ITGB1/ITGB3/TGFB1/FGF2/VEGFA/IL10/CXCL12/WNT5A/HSPB1/PKM",11
"GO:0007369","gastrulation","11/51","203/18860",0.0541871921182266,20.0386361441128,14.2011826184514,5.59692492896707e-12,1.22389567829475e-09,4.92775882478556e-10,"ITGA5/ITGB1/ITGAV/ITGB3/IL10/IL1RN/MMP2/FN1/WNT3A/WNT5A/DKK1",11
