"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","19/47","204/9376",0.0931372549019608,18.5798915310805,18.0184020170133,4.56754279991936e-20,7.67347190386453e-18,3.99059002519271e-18,"967/3678/3688/3685/3690/7040/2247/3082/3479/7422/4313/2335/1277/89780/7474/6469/60/4478/7430",19
"Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","12/47","154/9376",0.0779220779220779,15.5446255871788,12.9171697860056,7.97867897498255e-12,6.70209033898534e-10,3.48542292065027e-10,"3678/3688/3685/3690/7040/3082/3479/7422/5155/2335/1277/60",12
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","11/47","203/9376",0.0541871921182266,10.8097683680956,10.0292416510388,3.2932609945826e-09,1.84422615696625e-07,9.59090044036335e-08,"3678/3688/3685/3690/3082/3479/7422/5155/2335/1277/60",11
"Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","11/47","232/9376",0.0474137931034483,9.45854732208364,9.25952455535787,1.33539576007452e-08,5.60866219231298e-07,2.91678547595224e-07,"3678/3688/3685/3690/2247/5155/6387/2335/60/4478/7430",11
"Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","8/47","99/9376",0.0808080808080808,16.120352460778,10.7347702635979,2.59958708391882e-08,8.73461260196722e-07,4.54243637821604e-07,"3678/3688/3685/3690/7040/7043/3479/60",8
"Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","8/47","105/9376",0.0761904761904762,15.1991894630193,10.3851299135285,4.14015411657919e-08,1.15924315264217e-06,6.02864546800128e-07,"3678/3688/3685/3690/7040/7043/3479/60",8
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","12/47","362/9376",0.0331491712707182,6.61290701775009,7.73037170434344,1.40887864780061e-07,3.22377450745702e-06,1.67652433658479e-06,"3678/3688/3685/3690/2247/3082/3479/7422/5155/2335/1277/3320",12
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","6/47","50/9376",0.12,23.9387234042553,11.5431293401409,1.53513071783667e-07,3.22377450745702e-06,1.67652433658479e-06,"975/7040/7043/3082/3586/6347",6
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","8/47","142/9376",0.0563380281690141,11.2388372789931,8.72603395773737,4.33906296334859e-07,8.09958419825071e-06,4.21218977728577e-06,"3685/3690/7422/5155/6347/4313/3320/60",8
"Organismal Systems","Aging","hsa04213","Longevity regulating pathway - multiple species","6/47","62/9376",0.0967741935483871,19.3054221002059,10.2641855935083,5.6767773379383e-07,9.21034616252483e-06,4.78984167599976e-06,"3479/6647/6648/847/3312/3303",6
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","7/47","101/9376",0.0693069306930693,13.825995365494,9.1983901667277,6.03058379689126e-07,9.21034616252483e-06,4.78984167599976e-06,"7040/7043/7422/6347/4313/2335/1277",7
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","10/47","300/9376",0.0333333333333333,6.64964539007092,7.05913672799961,1.75372725121066e-06,2.45521815169492e-05,1.27683650746039e-05,"7040/7043/2247/3082/3479/7422/5155/3312/3303/3315",10
"Genetic Information Processing","Information processing in viruses","hsa03272","Virion - Hepatitis viruses","5/47","48/9376",0.104166666666667,20.7801418439716,9.75153024794673,3.70759107258917e-06,4.79134846303831e-05,2.49174136862268e-05,"928/967/975/7251/10015",5
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","10/47","333/9376",0.03003003003003,5.99067152258642,6.58175721599792,4.47901011931041e-06,5.37481214317249e-05,2.79517172859221e-05,"3678/3688/3685/3690/7422/2335/1277/89780/7474/5315",10
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","6/47","89/9376",0.0674157303370786,13.4487210136266,8.37527421761061,4.84801494706024e-06,5.42977674070747e-05,2.82375607442807e-05,"3678/3688/3685/3690/2335/1277",6
"Human Diseases","Cancer: specific types","hsa05226","Gastric cancer","7/47","150/9376",0.0466666666666667,9.30950354609929,7.28167015739355,8.57829125877376e-06,8.71324137799543e-05,4.53132227051141e-05,"7040/7043/2247/3082/89780/7474/6469",7
"Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","8/47","212/9376",0.0377358490566038,7.52790044158972,6.82363727799145,8.81697044201919e-06,8.71324137799543e-05,4.53132227051141e-05,"3688/3690/2247/3082/3479/7422/5155/60",8
"Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","6/47","103/9376",0.058252427184466,11.6207395166288,7.69272593987473,1.13168417080664e-05,0.000105623855941953,5.49296995186849e-05,"7040/7043/3586/2335/1277/3315",6
"Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","6/47","110/9376",0.0545454545454545,10.8812379110251,7.39909445111366,1.65116746804692e-05,0.000145997965595728,7.59262603035427e-05,"3479/7422/7076/3939/2023/2597",6
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","8/47","233/9376",0.0343347639484979,6.84942014427906,6.41746394932182,1.75640992019535e-05,0.000146439903098076,7.61560899570195e-05,"3678/3688/3685/3690/2335/1277/60/2023",8
