"cell_type","receptor_richness","protein_cargo_match","mirna_target_expr","communication_involvement","composite_score"
"Endothelial",1,1,0.362779604931891,1,0.840694901232973
"FC-Regulatory",0.473357820629553,0.944174894807264,1,0.659259259259259,0.769197993674019
"Macrophage",0.885130235787695,0.870424606262428,0.154078768890236,0.899259259259259,0.702223217549905
"FC-ECM",0.487505488253829,0.968275152363052,0.524032844448504,0.595555555555556,0.643842260155235
"Stem_Progenitor",0.841767270160395,0,0.622091216131642,0.902222222222222,0.591520177128565
"FC-Inflammatory",0.183773713707189,0.808447249621259,0.559498084334437,0.576296296296296,0.532003835989795
"OuterZone_FC",0.64737134025148,0,0.923234680947618,0.293333333333333,0.465984838633108
"Meniscus_Progenitor",0.445366357401195,0,0.957863281558,0.45037037037037,0.463400002332391
"Smooth_Muscle",0.403584175901437,0,0.853746391566516,0.32,0.394332641866988
"Proliferating_M",0.212620687107293,0,0.684165345925137,0.499259259259259,0.349011323072922
"Proliferating_G2M",0.162797687375918,0,0.390240355647486,0.811851851851852,0.341222473718814
"Secretory_Chondrocyte",0.145596171562829,0,0.500670143557383,0.714074074074074,0.340085097298571
"Male_Inflammatory",0.257747752796661,0,0.217486521052707,0.792592592592593,0.31695671661049
"Proliferating_S",0.0275494585073534,0,0.333352413676881,0.865185185185185,0.306521764342355
"FC-Metabolic",0,0.777157273908838,0.284942327345099,0.131851851851852,0.298487863276447
"Hypertrophic_Chondrocyte",0.281170411313214,0,0.249378361314369,0.426666666666667,0.239303859823562
"FC-Degenerated",0.1225530839723,0.794648325966451,0,0,0.229300352484688
