"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","receptor","cell_type"
2.31644463635764e-18,7.94104467655404,0.067,0,5.88075799832115e-14,"ALK","FC-Regulatory"
9.1129889859427e-07,4.88837343857305,0.067,0.002,0.0231351451386127,"CSF2RB","FC-Regulatory"
1.53157898953726e-06,3.50527739300291,0.267,0.034,0.0388821958073824,"PILRA","FC-Regulatory"
0.000840448384627533,4.14432161011958,0.067,0.004,1,"GIPR","FC-Regulatory"
0.00143152451492169,-0.464078239179536,0.867,0.988,1,"CD99","FC-Regulatory"
0.00284820474887207,3.83790575774662,0.133,0.021,1,"ITGA6","FC-Regulatory"
0.00314245050013735,3.32276796168363,0.133,0.021,1,"SELL","FC-Regulatory"
0.00633040987695514,0.300891774214686,1,0.999,1,"CD44","FC-Regulatory"
0.00721710237257125,3.49031680636442,0.133,0.024,1,"ITGA9","FC-Regulatory"
0.0129319870238671,3.35345872293447,0.133,0.028,1,"NTNG2","FC-Regulatory"
0.0140705137941189,3.56443649743288,0.067,0.008,1,"OXTR","FC-Regulatory"
0.018181248441502,0.586095021017827,0.933,0.725,1,"CD47","FC-Regulatory"
0.0193521396527312,0.307767101866137,1,0.969,1,"LRP1","FC-Regulatory"
0.0214108142026733,3.39957518013901,0.067,0.009,1,"C5AR1","FC-Regulatory"
0.0224544824513059,-3.32462990877892,0,0.265,1,"LEPR","FC-Regulatory"
0.0343281126994371,0.488331441653693,0.8,0.749,1,"NRP2","FC-Regulatory"
0.0348195927761383,-1.52570483482178,0.133,0.411,1,"NRP1","FC-Regulatory"
0.0364956017603665,-0.771472513901191,0.467,0.701,1,"PDGFRB","FC-Regulatory"
0.0381570094811248,-2.97706093104052,0,0.227,1,"JAM2","FC-Regulatory"
0.0495148742450942,3.25944372987812,0.067,0.011,1,"PODXL","FC-Regulatory"
0.0621068650742325,-1.31473432350666,0.2,0.435,1,"TNFRSF1B","FC-Regulatory"
0.0636000824912043,0.496243692840863,0.733,0.699,1,"ACKR3","FC-Regulatory"
0.0636908935926172,0.687641328031426,0.8,0.753,1,"BDKRB2","FC-Regulatory"
0.0650686674577216,-0.474010629554166,0.533,0.821,1,"IL6ST","FC-Regulatory"
0.0722137581140914,0.38100871753734,0.933,0.821,1,"OSMR","FC-Regulatory"
0.0758820733168605,-2.62992600154716,0,0.176,1,"FZD2","FC-Regulatory"
0.0845103136842077,1.29092032032648,0.4,0.225,1,"PLXNA4","FC-Regulatory"
0.088137961939397,0.911277850170566,0.467,0.27,1,"PTPRM","FC-Regulatory"
0.0898185924579175,1.46091561978491,0.133,0.042,1,"CCR1","FC-Regulatory"
0.0958846405748708,-0.433013628017633,0.333,0.56,1,"PLXNB2","FC-Regulatory"
0.0972047130836402,-0.834567330626579,0.267,0.511,1,"NOTCH3","FC-Regulatory"
0.0982686767639951,0.301212774993309,0.8,0.787,1,"AXL","FC-Regulatory"
0.106333104036602,-1.03549721358126,0.2,0.41,1,"ITGA10","FC-Regulatory"
0.113238977376737,-0.536622998926337,0.333,0.559,1,"ITGA11","FC-Regulatory"
0.113289811219361,2.02618887353903,0.2,0.091,1,"IL1RL1","FC-Regulatory"
0.130813828810788,-2.28983742217571,0,0.133,1,"MCAM","FC-Regulatory"
0.134973386376337,1.14884108171912,0.4,0.262,1,"IL15RA","FC-Regulatory"
0.142191611196995,0.823340113555054,0.533,0.456,1,"NEGR1","FC-Regulatory"
0.150763861586619,-2.07091110279286,0,0.122,1,"IL18R1","FC-Regulatory"
0.153283892441495,1.8369065471577,0.133,0.052,1,"NPR2","FC-Regulatory"
0.15346033572346,-1.27076360166273,0.067,0.225,1,"LRP5","FC-Regulatory"
0.155321890327791,-0.86260566722136,0.267,0.427,1,"IFNGR1","FC-Regulatory"
0.156381182392099,2.26152640461872,0.067,0.017,1,"CCR7","FC-Regulatory"
0.160939299524368,-1.9387142063024,0,0.117,1,"TNFRSF14","FC-Regulatory"
0.169510499870446,0.451429179301606,0.733,0.673,1,"NOTCH2","FC-Regulatory"
0.16982460034014,-1.04174884573145,0.133,0.295,1,"NECTIN2","FC-Regulatory"
0.171788260758803,-1.85418463577711,0,0.111,1,"GHR","FC-Regulatory"
0.172945893595049,0.898067994316691,0.533,0.422,1,"IL10RB","FC-Regulatory"
0.190897131653361,0.629019896016004,0.667,0.585,1,"IGF2R","FC-Regulatory"
0.195633796231488,0.585810683653846,0.6,0.487,1,"CD55","FC-Regulatory"
0.2000179561236,-1.65311059189687,0,0.099,1,"SDC3","FC-Regulatory"
0.20040497717861,2.54329606680896,0.067,0.02,1,"PLXNA2","FC-Regulatory"
0.204858560817,2.25091553837591,0.067,0.02,1,"IL17RB","FC-Regulatory"
0.209606128217141,-0.84018349697479,0.133,0.287,1,"ADIPOR2","FC-Regulatory"
0.211766497965365,1.0063915980441,0.467,0.401,1,"ITGB8","FC-Regulatory"
0.211836076981829,-0.630658919421624,0.067,0.212,1,"CMKLR1","FC-Regulatory"
0.218215393933799,-1.57286345575126,0,0.092,1,"EDA2R","FC-Regulatory"
0.218227886370746,1.68832592759074,0.2,0.111,1,"EPHB4","FC-Regulatory"
0.221142172276769,-0.557464105844649,0.133,0.314,1,"IL4R","FC-Regulatory"
0.232980831039606,-1.60586358664725,0,0.087,1,"FGFR2","FC-Regulatory"
0.238151739270347,0.530753038733085,0.533,0.435,1,"ADIPOR1","FC-Regulatory"
0.243056362893512,-0.606058766661017,0.067,0.199,1,"ITGA2","FC-Regulatory"
0.257776918656049,1.11304519169663,0.333,0.23,1,"FZD10","FC-Regulatory"
0.263695367265908,1.37994005241384,0.133,0.064,1,"SDC1","FC-Regulatory"
0.265771464934531,-1.24618695914532,0,0.077,1,"PVR","FC-Regulatory"
0.269008207451344,-1.09906288315568,0.067,0.17,1,"CD4","FC-Regulatory"
0.27472505587467,-1.20362994861052,0,0.074,1,"NECTIN3","FC-Regulatory"
0.27770794504035,2.02978144956927,0.067,0.024,1,"MPZ","FC-Regulatory"
0.280878002910633,-1.36766133235706,0,0.072,1,"FZD4","FC-Regulatory"
0.284011531686905,-1.27566578273701,0,0.071,1,"ITGB3","FC-Regulatory"
0.28419773635913,-1.01406849921032,0.067,0.17,1,"DAG1","FC-Regulatory"
0.287237633880005,2.31871993285828,0.067,0.024,1,"GFRA2","FC-Regulatory"
0.295861698764922,0.149395584134954,0.933,0.908,1,"ITGA5","FC-Regulatory"
0.299984786559911,1.04351523527966,0.2,0.116,1,"ACVR1B","FC-Regulatory"
0.302542556442369,0.276234205875525,0.933,0.91,1,"FGFR1","FC-Regulatory"
0.303654626161784,-1.38293374402542,0,0.066,1,"CD74","FC-Regulatory"
0.309009206655002,-0.820074034956758,0.067,0.169,1,"LIFR","FC-Regulatory"
0.3151364244322,1.8260657783249,0.067,0.025,1,"NLGN1","FC-Regulatory"
0.327395148907952,-0.319330619535149,0.333,0.511,1,"TNFRSF1A","FC-Regulatory"
0.332308313805796,-0.953420053191408,0,0.059,1,"IL1RL2","FC-Regulatory"
0.353094266443535,-0.53037475916555,0.267,0.387,1,"ACVR1","FC-Regulatory"
0.360030269871503,-0.841629101609157,0,0.053,1,"PTCH1","FC-Regulatory"
0.362515668994995,1.91328198347946,0.067,0.028,1,"MERTK","FC-Regulatory"
0.363832796874075,3.01665169301728,0.067,0.029,1,"BMPR1B","FC-Regulatory"
0.372770570519601,-0.726448624223578,0,0.051,1,"IL1RAP","FC-Regulatory"
0.37714183030085,-0.76802097556559,0,0.05,1,"PECAM1","FC-Regulatory"
0.391316978893696,0.677450026420934,0.4,0.32,1,"ITGA1","FC-Regulatory"
0.427471094808775,-0.278230196995298,0.333,0.47,1,"FZD1","FC-Regulatory"
0.435733351987149,1.75122277636456,0.2,0.155,1,"ADORA2B","FC-Regulatory"
0.441838666083598,-0.326737561882344,0.067,0.142,1,"LRP6","FC-Regulatory"
0.442036428751635,-0.440573912951157,0.133,0.223,1,"SV2A","FC-Regulatory"
0.443260193742755,-0.161809335842335,0.333,0.457,1,"MPZL1","FC-Regulatory"
