"Target","Is_Druggable","In_Exosome_Cargo"
"FN1",FALSE,TRUE
"COL1A1",FALSE,TRUE
"WNT3A",FALSE,TRUE
"WNT5A",FALSE,TRUE
"ITGB1",FALSE,TRUE
"FGF2",FALSE,TRUE
"PDGFB",FALSE,TRUE
"CXCL12",FALSE,TRUE
"VEGFA",FALSE,TRUE
"TGFB1",FALSE,TRUE
"TGFB3",FALSE,TRUE
"BMP2",FALSE,TRUE
"IGF1",FALSE,TRUE
"HGF",FALSE,TRUE
"IL10",FALSE,TRUE
"SHH",FALSE,TRUE
"ANXA1",FALSE,TRUE
"CCL2",FALSE,TRUE
"CD9",FALSE,TRUE
"CD63",FALSE,TRUE
"CD81",FALSE,TRUE
"TSG101",FALSE,TRUE
"ALIX",FALSE,TRUE
"SDCBP",FALSE,TRUE
"PDCD6IP",FALSE,TRUE
"ITGA5",FALSE,TRUE
"ITGAV",FALSE,TRUE
"ITGB3",FALSE,TRUE
"IL1RN",FALSE,TRUE
"TSG6",FALSE,TRUE
