"Pathway","Cargo_Ligand","Target_Receptor","Sender_CellType","Receiver_CellType","Original_Strength"
"TGFb","TGFB1","TGFbR1,R2","Exosome(Virtual)","All_expressing_receptor",1
"TGFb","TGFB3","TGFbR1,R2","Exosome(Virtual)","All_expressing_receptor",1
"TGFb","TGFB1","ACVR1B,TGFbR2","Exosome(Virtual)","All_expressing_receptor",1
"TGFb","TGFB1","ACVR1C,TGFbR2","Exosome(Virtual)","All_expressing_receptor",1
"TGFb","TGFB3","ACVR1B,TGFbR2","Exosome(Virtual)","All_expressing_receptor",1
"TGFb","TGFB3","ACVR1C,TGFbR2","Exosome(Virtual)","All_expressing_receptor",1
"TGFb","TGFB1","ACVR1,TGFbR","Exosome(Virtual)","All_expressing_receptor",1
"TGFb","TGFB3","ACVR1,TGFbR","Exosome(Virtual)","All_expressing_receptor",1
"BMP","BMP2","BMPR1A,ACVR2A","Exosome(Virtual)","All_expressing_receptor",1
"BMP","BMP2","BMPR1A,ACVR2B","Exosome(Virtual)","All_expressing_receptor",1
"BMP","BMP2","BMPR1A,BMPR2","Exosome(Virtual)","All_expressing_receptor",1
"BMP","BMP2","BMPR1B,ACVR2A","Exosome(Virtual)","All_expressing_receptor",1
"BMP","BMP2","BMPR1B,ACVR2B","Exosome(Virtual)","All_expressing_receptor",1
"BMP","BMP2","BMPR1B,BMPR2","Exosome(Virtual)","All_expressing_receptor",1
"ncWNT","WNT5A","FZD1","Exosome(Virtual)","All_expressing_receptor",1
"ncWNT","WNT5A","FZD10","Exosome(Virtual)","All_expressing_receptor",1
"ncWNT","WNT5A","FZD2","Exosome(Virtual)","All_expressing_receptor",1
"ncWNT","WNT5A","FZD3","Exosome(Virtual)","All_expressing_receptor",1
"ncWNT","WNT5A","FZD4","Exosome(Virtual)","All_expressing_receptor",1
"ncWNT","WNT5A","FZD5","Exosome(Virtual)","All_expressing_receptor",1
"ncWNT","WNT5A","FZD6","Exosome(Virtual)","All_expressing_receptor",1
"ncWNT","WNT5A","FZD7","Exosome(Virtual)","All_expressing_receptor",1
"ncWNT","WNT5A","FZD8","Exosome(Virtual)","All_expressing_receptor",1
"ncWNT","WNT5A","FZD9","Exosome(Virtual)","All_expressing_receptor",1
"ncWNT","WNT5A","MCAM","Exosome(Virtual)","All_expressing_receptor",1
"FGF","FGF2","FGFR1","Exosome(Virtual)","All_expressing_receptor",1
"FGF","FGF2","FGFR2","Exosome(Virtual)","All_expressing_receptor",1
"FGF","FGF2","FGFR3","Exosome(Virtual)","All_expressing_receptor",1
"PDGF","PDGFB","PDGFRA","Exosome(Virtual)","All_expressing_receptor",1
"PDGF","PDGFB","PDGFRB","Exosome(Virtual)","All_expressing_receptor",1
"VEGF","VEGFA","FLT1","Exosome(Virtual)","All_expressing_receptor",1
"VEGF","VEGFA","KDR","Exosome(Virtual)","All_expressing_receptor",1
"VEGF","VEGFA","FLT1,KDR","Exosome(Virtual)","All_expressing_receptor",1
"IGF","IGF1","IGF1R","Exosome(Virtual)","All_expressing_receptor",1
"IGF","IGF1","ITGAV,ITGB3","Exosome(Virtual)","All_expressing_receptor",1
"IGF","IGF1","ITGA6,ITGB4","Exosome(Virtual)","All_expressing_receptor",1
"CCL","CCL2","ACKR1","Exosome(Virtual)","All_expressing_receptor",1
"CCL","CCL2","ACKR2","Exosome(Virtual)","All_expressing_receptor",1
"CXCL","CXCL12","CXCR4","Exosome(Virtual)","All_expressing_receptor",1
"CXCL","CXCL12","ACKR3","Exosome(Virtual)","All_expressing_receptor",1
"IL10","IL10","IL10RA,IL10RB","Exosome(Virtual)","All_expressing_receptor",1
"HGF","HGF","MET","Exosome(Virtual)","All_expressing_receptor",1
"ANNEXIN","ANXA1","FPR2","Exosome(Virtual)","All_expressing_receptor",1
"ANNEXIN","ANXA1","FPR1","Exosome(Virtual)","All_expressing_receptor",1
"COLLAGEN","COL1A1","ITGA1,ITGB1","Exosome(Virtual)","All_expressing_receptor",1
"COLLAGEN","COL1A1","ITGA2,ITGB1","Exosome(Virtual)","All_expressing_receptor",1
"FN1","FN1","ITGA3,ITGB1","Exosome(Virtual)","All_expressing_receptor",1
"FN1","FN1","ITGA4,ITGB1","Exosome(Virtual)","All_expressing_receptor",1
