"Pathway","Cargo","Receptor"
"TGFb","TGFB1","TGFbR1_R2"
"TGFb","TGFB3","TGFbR1_R2"
"TGFb","TGFB1","ACVR1B_TGFbR2"
"TGFb","TGFB1","ACVR1C_TGFbR2"
"TGFb","TGFB3","ACVR1B_TGFbR2"
"TGFb","TGFB3","ACVR1C_TGFbR2"
"TGFb","TGFB1","ACVR1_TGFbR"
"TGFb","TGFB3","ACVR1_TGFbR"
"BMP","BMP2","BMPR1A_ACVR2A"
"BMP","BMP2","BMPR1A_ACVR2B"
"BMP","BMP2","BMPR1A_BMPR2"
"BMP","BMP2","BMPR1B_ACVR2A"
"BMP","BMP2","BMPR1B_ACVR2B"
"BMP","BMP2","BMPR1B_BMPR2"
"ncWNT","WNT5A","FZD1"
"ncWNT","WNT5A","FZD10"
"ncWNT","WNT5A","FZD2"
"ncWNT","WNT5A","FZD3"
"ncWNT","WNT5A","FZD4"
"ncWNT","WNT5A","FZD5"
"ncWNT","WNT5A","FZD6"
"ncWNT","WNT5A","FZD7"
"ncWNT","WNT5A","FZD8"
"ncWNT","WNT5A","FZD9"
"ncWNT","WNT5A","MCAM"
"FGF","FGF2","FGFR1"
"FGF","FGF2","FGFR2"
"FGF","FGF2","FGFR3"
"PDGF","PDGFB","PDGFRA"
"PDGF","PDGFB","PDGFRB"
"VEGF","VEGFA","FLT1"
"VEGF","VEGFA","KDR"
"VEGF","VEGFA","FLT1_KDR"
"IGF","IGF1","IGF1R"
"IGF","IGF1","ITGAV_ITGB3"
"IGF","IGF1","ITGA6_ITGB4"
"CCL","CCL2","ACKR1"
"CCL","CCL2","ACKR2"
"CXCL","CXCL12","CXCR4"
"CXCL","CXCL12","ACKR3"
"IL10","IL10","IL10RA_IL10RB"
"HGF","HGF","MET"
"ANNEXIN","ANXA1","FPR2"
"ANNEXIN","ANXA1","FPR1"
"COLLAGEN","COL1A1","ITGA1_ITGB1"
"COLLAGEN","COL1A1","ITGA2_ITGB1"
"FN1","FN1","ITGA3_ITGB1"
"FN1","FN1","ITGA4_ITGB1"
"FN1","FN1","ITGA5_ITGB1"
"FN1","FN1","ITGA8_ITGB1"
"COLLAGEN","COL1A1","ITGA3_ITGB1"
"COLLAGEN","COL1A1","ITGA9_ITGB1"
"COLLAGEN","COL1A1","ITGA10_ITGB1"
"COLLAGEN","COL1A1","ITGA11_ITGB1"
"FN1","FN1","ITGAV_ITGB1"
"FN1","FN1","ITGAV_ITGB3"
"FN1","FN1","ITGA2B_ITGB3"
"FN1","FN1","ITGAV_ITGB6"
"FN1","FN1","ITGAV_ITGB8"
"COLLAGEN","COL1A1","ITGAV_ITGB8"
"FN1","FN1","CD44"
"COLLAGEN","COL1A1","CD44"
"COLLAGEN","COL1A1","SDC1"
"FN1","FN1","SDC1"
"COLLAGEN","COL1A1","SDC4"
"FN1","FN1","SDC4"
"COLLAGEN","COL1A1","GP6"
"ANXA1","ANXA1","FPR2_LXA4"
"VCAM","ITGB1","VCAM1"
