"miRNA","n_targets"
"hsa-miR-146a-5p",1
"hsa-miR-146b-5p",1
"hsa-miR-21-5p",1
"hsa-miR-124-3p",1
"hsa-miR-223-3p",1
"hsa-miR-140-5p",1
"hsa-miR-140-3p",1
"hsa-miR-127-5p",1
"hsa-miR-320a",1
"hsa-miR-320c",1
"hsa-miR-100-5p",1
"hsa-miR-199a-3p",1
"hsa-miR-26a-5p",1
"hsa-miR-29a-3p",1
"hsa-miR-29b-3p",1
"hsa-miR-29c-3p",1
"hsa-miR-155-5p",1
"hsa-miR-181a-5p",1
"hsa-miR-182-5p",1
"hsa-miR-92a-3p",1
"hsa-miR-23b-3p",1
"hsa-miR-135b-5p",1
"hsa-miR-let-7a-5p",1
"hsa-miR-let-7b-5p",1
"hsa-miR-125b-5p",1
"hsa-miR-130a-3p",1
"hsa-miR-210-3p",1
"hsa-miR-22-3p",1
"hsa-miR-27a-3p",1
"hsa-miR-27b-3p",1
