"","Proliferating_M","FC-Regulatory","Meniscus_Progenitor","Endothelial","FC-Metabolic","FC-Inflammatory","Proliferating_S","FC-Degenerated","Smooth_Muscle","Macrophage","OuterZone_FC","Stem_Progenitor","FC-ECM","Proliferating_G2M","Male_Inflammatory","Secretory_Chondrocyte","Hypertrophic_Chondrocyte"
"hsa-miR-146a-5p",0.00430408368000088,0.00884656447112781,0.00894731684025067,0.0199052052592056,0.0109507952418022,0.00970869575933223,0.00638765202408935,0.00895026783099174,0.0142563053241494,0.00813385015209025,0.0107129507662431,0.0112588859508536,0.00916248603104832,0.00678008147441447,0.0110228977155798,0.00764020446842571,0.00792284505118619
"hsa-miR-146b-5p",0.00430408368000088,0.00884656447112781,0.00894731684025067,0.0199052052592056,0.0109507952418022,0.00970869575933223,0.00638765202408935,0.00895026783099174,0.0142563053241494,0.00813385015209025,0.0107129507662431,0.0112588859508536,0.00916248603104832,0.00678008147441447,0.0110228977155798,0.00764020446842571,0.00792284505118619
"hsa-miR-21-5p",0.0265154292149467,0.0227881160265758,0.0166159408190889,0.0304674047575928,0.0168076854936764,0.0180669292383656,0.0230253583812511,0.0255407884878994,0.0198755852333745,0.0173274428737408,0.0173174455391522,0.0271146380312729,0.0204727345468163,0.0298665341798736,0.0288718209828953,0.020911748201356,0.0152738872972559
"hsa-miR-124-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-223-3p",0,0.000195584409659401,0,0,0.000868893544310173,0.000647595933623079,0,0,0.00203527620319197,0.0302589931452741,0.00169338959889824,0,0.00032375352861726,0.000966266391788825,0.000578743000824102,0.00134589540175029,0.000599088747996338
"hsa-miR-140-5p",0.103204554374556,0.192898654415267,0.109229655853269,0.0783025770173707,0.0465402213991031,0.10650446377512,0.0771752717218658,0.100249453886491,0.0663277917276497,0.0800894721378565,0.191583826655063,0.111896116188777,0.188034007798586,0.114928188377217,0.136744434607783,0.146242682518046,0.178778510489711
"hsa-miR-140-3p",0.103204554374556,0.192898654415267,0.109229655853269,0.0783025770173707,0.0465402213991031,0.10650446377512,0.0771752717218658,0.100249453886491,0.0663277917276497,0.0800894721378565,0.191583826655063,0.111896116188777,0.188034007798586,0.114928188377217,0.136744434607783,0.146242682518046,0.178778510489711
"hsa-miR-127-5p",0.0388835916571333,0.0659424939157025,0.0228905696192241,0.0484631534652016,0.0225323388652738,0.0353435883400267,0.0313652972795705,0.113743858153185,0.0216763565498407,0.045246850105534,0.0371218500227447,0.0462746544912784,0.0675318173830217,0.0534614518000819,0.104188257881778,0.0982194512894508,0.108848781292014
"hsa-miR-320a",0.0388835916571333,0.0659424939157025,0.0228905696192241,0.0484631534652016,0.0225323388652738,0.0353435883400267,0.0313652972795705,0.113743858153185,0.0216763565498407,0.045246850105534,0.0371218500227447,0.0462746544912784,0.0675318173830217,0.0534614518000819,0.104188257881778,0.0982194512894508,0.108848781292014
"hsa-miR-320c",0.124577650977257,0.0821389218953442,0.0518407170221019,0.110680160912257,0.0262808359831964,0.0448119360233549,0.0296545369746531,0.028727648316497,0.107432599369238,0.039366767008896,0.0540230155556843,0.122352823228988,0.0581776067935897,0.0759583793399751,0.0093306189175126,0.0185748108492781,0.029618238190071
"hsa-miR-100-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-199a-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-26a-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-29a-3p",0.824901035334434,0.91294815237675,1,0.649072410637767,0.648328745023781,0.766288414703108,0.692817483222219,0.403232192114066,0.919349052160578,0.525027562663738,0.923294430185707,0.658336759480092,0.641240760653584,0.630350427327255,0.535387301306964,0.635013568286247,0.455591888718379
"hsa-miR-29b-3p",0.824901035334434,0.91294815237675,1,0.649072410637767,0.648328745023781,0.766288414703108,0.692817483222219,0.403232192114066,0.919349052160578,0.525027562663738,0.923294430185707,0.658336759480092,0.641240760653584,0.630350427327255,0.535387301306964,0.635013568286247,0.455591888718379
"hsa-miR-29c-3p",0.824901035334434,0.91294815237675,1,0.649072410637767,0.648328745023781,0.766288414703108,0.692817483222219,0.403232192114066,0.919349052160578,0.525027562663738,0.923294430185707,0.658336759480092,0.641240760653584,0.630350427327255,0.535387301306964,0.635013568286247,0.455591888718379
"hsa-miR-155-5p",0.00114846964607465,0.000285006596363963,0.00047594762336581,0.00824206821630852,0.000818964183067305,0.000888038783653299,0.00156891580142512,0.00334779196497571,0.00181984698453789,0.000469718409946166,0,0,0.00099934993391856,0.00323561059341677,0.00331911422321059,0.001136677034429,0.000361215266692227
"hsa-miR-181a-5p",0.00420898728883156,0.00733436889057577,0.00558421544518918,0.00475324660314918,0.00248418884595843,0.00377700601794348,0.00470209756461065,0.0134771066438934,0.00556711449514738,0.0283628005590935,0.00912698348106934,0.0087957250354926,0.00916685806064567,0.00927092767610362,0.00591926387081928,0.00687128106560572,0.00118764931802434
"hsa-miR-182-5p",0.0107085217568767,0.0227496230827937,0.0136344799119689,0.0495475392713959,0.0127359875719228,0.0121588541005702,0.0153004266875757,0.0315218648005221,0.0105731897324185,0.0186627826038433,0.0493050536548151,0.0301602326412871,0.0280346374161644,0.0245259040569011,0.0165319471100448,0.0439198047667166,0.0726854170463633
