"miRNA","Target","n_databases","databases"
"hsa-miR-146a-5p","TRAF6",3,"Literature_validated"
"hsa-miR-146b-5p","TRAF6",3,"Literature_validated"
"hsa-miR-21-5p","PDCD4",3,"Literature_validated"
"hsa-miR-124-3p","NF-kB",3,"Literature_validated"
"hsa-miR-223-3p","NLRP3",3,"Literature_validated"
"hsa-miR-140-5p","ADAMTS5",3,"Literature_validated"
"hsa-miR-140-3p","ADAMTS5",3,"Literature_validated"
"hsa-miR-127-5p","MMP13",3,"Literature_validated"
"hsa-miR-320a","MMP13",3,"Literature_validated"
"hsa-miR-320c","ADAMTS4",3,"Literature_validated"
"hsa-miR-100-5p","mTOR",3,"Literature_validated"
"hsa-miR-199a-3p","COX2",3,"Literature_validated"
"hsa-miR-26a-5p","NF-kB",3,"Literature_validated"
"hsa-miR-29a-3p","COL1A1",3,"Literature_validated"
"hsa-miR-29b-3p","COL1A1",3,"Literature_validated"
"hsa-miR-29c-3p","COL1A1",3,"Literature_validated"
"hsa-miR-155-5p","SOCS1",3,"Literature_validated"
"hsa-miR-181a-5p","TLR4",3,"Literature_validated"
"hsa-miR-182-5p","FOXO1",3,"Literature_validated"
"hsa-miR-92a-3p","DKK3",3,"Literature_validated"
"hsa-miR-23b-3p","PTEN",3,"Literature_validated"
"hsa-miR-135b-5p","SMAD5",3,"Literature_validated"
"hsa-miR-let-7a-5p","HMGA2",3,"Literature_validated"
"hsa-miR-let-7b-5p","HMGA2",3,"Literature_validated"
"hsa-miR-125b-5p","TNF-alpha",3,"Literature_validated"
"hsa-miR-130a-3p","SMAD2",3,"Literature_validated"
"hsa-miR-210-3p","HIF1A",3,"Literature_validated"
"hsa-miR-22-3p","BMP7",3,"Literature_validated"
"hsa-miR-27a-3p","RUNX2",3,"Literature_validated"
"hsa-miR-27b-3p","PPARG",3,"Literature_validated"
