"","Proliferating_M","FC-Regulatory","Meniscus_Progenitor","Endothelial","FC-Metabolic","FC-Inflammatory","Proliferating_S","FC-Degenerated","Smooth_Muscle","Macrophage","OuterZone_FC","Stem_Progenitor","FC-ECM","Proliferating_G2M","Male_Inflammatory","Secretory_Chondrocyte","Hypertrophic_Chondrocyte"
"CD9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD63",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD81",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TSG101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALIX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SDCBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PDCD6IP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITGA5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITGB1",0,0.23951823449759,0,0.133545296508654,0.0593185541914977,0.152505310806831,0,0.112730714068912,0,0.109710673716014,0,0,0.202524785299428,0,0,0,0
"ITGAV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITGB3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TGFB1",0,0.0586190870692748,0,0.0636289937860009,0.0626105475815071,0.055695668837843,0,0.0486772303675322,0,0.0577847314094426,0,0,0.0624183261351153,0,0,0,0
"TGFB3",0,0.0586190870692748,0,0.0636289937860009,0.0626105475815071,0.055695668837843,0,0.0486772303675322,0,0.0577847314094426,0,0,0.0624183261351153,0,0,0,0
"FGF2",0,0.134448847281277,0,0.0943482314675465,0.165660728052005,0.138842950791572,0,0.114711778247258,0,0.100668513322639,0,0,0.142197154081433,0,0,0,0
"HGF",0,0.0168110775885879,0,0.00696252900510554,0.0404132529941491,0.0197220701716247,0,0.0315641719004844,0,0.0448663246409104,0,0,0.027744912202997,0,0,0,0
"IGF1",0,0.0326606748955852,0,0.0607964894324425,0.0302106542522272,0.0305639186391795,0,0.0392364659828183,0,0.0449015759082991,0,0,0.039253561669452,0,0,0,0
"VEGFA",0,0.00972617520420575,0,0.358616751175523,0.00493638851776852,0.00823908974230881,0,0.00810656406132756,0,0.0226597848618472,0,0,0.00508143634915798,0,0,0,0
"PDGFB",0,0.213885938874351,0,0.120383475849767,0.0813811863820216,0.154190375142995,0,0.0635321632840882,0,0.076476778908699,0,0,0.157374891939908,0,0,0,0
"BMP2",0,0.0460047493449374,0,0.102207741168687,0.036024068671779,0.0404287820774874,0,0.0459989476468265,0,0.0503485869578668,0,0,0.0487415126544464,0,0,0,0
"IL10",0,0.0165500292291555,0,0.0113482579311806,0.0111843684968862,0.0128951231025704,0,0.0112067781483583,0,0.0412458207074481,0,0,0.0185349313799217,0,0,0,0
"IL1RN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCL2",0,9.22747455754228e-05,0,0,0,9.77847398954769e-05,0,0.000274873122991729,0,0.000708730022214583,0,0,0.000125851214211381,0,0,0,0
"CXCL12",0,0.0908198247454947,0,0.171146947879199,0.0603189393948205,0.0733208572551915,0,0.107046927989795,0,0.140815558390457,0,0,0.118725536077882,0,0,0,0
"TSG6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMP2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TIMP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TIMP2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FN1",0,0.944692643876349,0,0.845852133699809,0.873739655562284,0.839083241548038,0,0.86745101827361,0,1,0,0,0.982997750945261,0,0,0,0
"COL1A1",0,0.951962972886493,0,0.814471340065414,0.870571599350201,0.837691137044454,0,0.864734622915903,0,0.958171981456925,0,0,0.982379315820597,0,0,0,0
"WNT3A",0,0.259078579561409,0,0.236502710744357,0.19424977477969,0.211964985040804,0,0.225919567467557,0,0.146242182045981,0,0,0.296640778419707,0,0,0,0
"WNT5A",0,0.13696997977977,0,0.321324629605519,0.0918417508573407,0.117199470507256,0,0.11253216693535,0,0.0914742901795077,0,0,0.145809056497998,0,0,0,0
"SHH",0,0.00833618240532993,0,0.00401619672158116,0.00425299719539585,0.00780156757230215,0,0.00652686407102355,0,0.00583719623563064,0,0,0.00799935518475394,0,0,0,0
"DKK1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IDO1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HLA_G",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PD_L1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
