"cell_type","protein_match","mirna_target","composite"
"FC-Regulatory",0.953122644672847,1,0.976561322336424
"FC-ECM",0.973419974015287,0.805081245595479,0.889250609805383
"Endothelial",1,0.739044586923405,0.869522293461703
"FC-Inflammatory",0.812961285953362,0.819605021664048,0.816283153808705
"Macrophage",0.876042225184937,0.653577120250654,0.764809672717796
"FC-Metabolic",0.779006312078667,0.707168553006996,0.743087432542831
"FC-Degenerated",0.801565503080664,0.590478561112749,0.696022032096707
"Proliferating_M",0,0,0
"Meniscus_Progenitor",0,0,0
"Proliferating_S",0,0,0
"Smooth_Muscle",0,0,0
"OuterZone_FC",0,0,0
"Stem_Progenitor",0,0,0
"Proliferating_G2M",0,0,0
"Male_Inflammatory",0,0,0
"Secretory_Chondrocyte",0,0,0
"Hypertrophic_Chondrocyte",0,0,0
